,"Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$","Domestic general government health expenditure (GGHE-D) per capita in US$"
"Cyprus","734.1","689.2","665.8","796.8","873.0","872.2","1002.4","935.7","895.5","896.9","731.3","631.3","566.5","531.4","503.3","395.2","327.2","308.3"
"Czechia","1206.5","1082.1","1055.9","1249.2","1296.6","1159.1","1269.3","1142.1","1195.4","1173.9","930.2","805.5","726.7","653.8","560.5","438.4","339.8","304.2"
"Democratic Republic of the Congo","1.9","2.6","3.3","2.7","2.3","2.3","1.4","1.3","0.9","1.0","0.7","0.6","0.5","0.4","0.4","0.2","0.2","0.8"
"Denmark","4873.5","4681.9","4604.3","5372.0","5255.0","5042.0","5251.8","5042.5","5254.8","5157.0","4577.5","4008.1","3720.5","3504.8","3026.7","2426.9","2170.8","2074.4"
"Djibouti","33.1","36.7","44.6","42.9","41.2","40.8","43.1","33.7","32.4","30.7","25.5","23.4","17.8","17.5","17.5","14.4","13.8","15.3"
"Dominica","285.6","269.4","261.4","240.8","225.7","229.6","220.2","226.8","218.6","195.5","169.7","168.3","157.0","153.5","156.1","152.5","159.5","156.8"
"Dominican Republic","199.3","189.4","160.1","158.9","169.4","165.1","157.7","136.9","115.1","105.9","77.9","56.7","54.0","28.1","27.7","51.6","50.1","48.6"
"Ecuador","273.6","258.4","260.8","284.6","266.6","238.3","194.7","148.7","113.0","97.7","80.1","60.9","50.9","46.9","40.7","30.9","23.9","13.9"
"Egypt","34.9","46.8","56.5","48.7","43.4","42.6","41.7","36.7","36.8","32.9","27.4","25.3","20.3","17.3","16.9","23.2","24.6","25.5"
"El Salvador","180.1","189.4","182.2","171.9","170.2","155.3","159.4","133.0","119.6","121.8","116.1","120.5","103.6","91.9","86.3","85.3","79.7","79.2"
"Equatorial Guinea","56.7","63.9","62.2","90.6","86.5","113.0","86.9","77.7","97.2","67.7","45.7","33.3","22.3","18.9","9.1","4.9","5.0","6.0"
"Eritrea","9.0","8.7","3.3","2.8","2.3","4.2","3.3","2.5","4.9","0.9","3.0","1.9","1.8","3.5","3.0","3.3","3.0","3.3"
"Estonia","971.1","894.0","838.2","932.6","863.4","771.5","760.8","687.4","743.2","791.7","625.0","448.8","388.2","336.4","265.2","190.6","167.8","159.2"
"Eswatini","114.0","80.9","90.7","93.6","120.2","133.6","142.1","156.0","135.3","126.6","114.4","101.6","104.6","76.5","59.0","32.1","34.3","39.5"
"Ethiopia","6.3","6.3","6.1","4.0","5.4","4.9","1.3","2.9","3.0","1.6","3.2","2.2","2.8","1.8","2.7","2.3","2.4","2.2"
"Fiji","124.8","115.0","110.1","113.3","96.6","94.3","89.1","86.4","80.0","100.1","109.1","100.6","95.8","80.1","68.3","53.9","46.1","59.2"
"Finland","3227.7","3133.3","3198.6","3703.0","3353.2","3460.5","3541.7","3167.4","3253.5","3355.4","2932.3","2554.0","2390.2","2242.8","1910.6","1489.0","1298.9","1229.7"
"France","3376.4","3272.5","3223.8","3823.4","3740.1","3542.8","3753.4","3506.9","3616.8","3670.6","3326.2","2946.1","2811.9","2720.0","2363.0","1930.5","1728.8","1701.0"
"Gabon","129.4","142.3","116.6","147.0","176.5","144.9","169.9","137.7","118.0","107.2","103.0","85.6","71.1","77.3","70.2","49.2","50.2","46.6"
"Gambia","5.3","4.3","3.8","4.9","7.9","11.7","11.0","10.4","13.1","11.8","10.6","8.4","9.6","9.2","6.2","3.8","6.4","5.4"
"Georgia","109.1","113.0","99.9","96.3","78.9","62.8","50.7","56.0","52.9","46.5","26.0","21.3","17.7","13.7","10.3","8.5","8.0","5.5"
"Germany","3909.0","3656.9","3552.1","4075.8","3891.1","3589.4","3788.4","3482.5","3517.5","3496.2","3136.5","2776.7","2689.0","2618.9","2433.5","1987.7","1831.8","1827.6"
"Ghana","22.3","25.9","28.9","28.6","45.0","43.6","50.6","41.9","31.7","29.0","24.6","19.2","16.7","7.0","7.1","5.0","6.7","4.7"
"Greece","912.7","906.4","840.4","993.9","1128.4","1294.1","1532.3","1757.0","1906.3","1847.7","1532.9","1260.9","1176.9","1043.6","","","",""
"Grenada","212.3","214.0","181.8","184.5","185.8","188.0","193.9","187.1","196.2","190.8","194.5","197.6","182.4","146.5","130.4","130.7","105.6","91.2"
"Guatemala","93.2","90.6","86.9","81.3","75.3","66.2","63.3","58.5","60.0","59.0","50.6","48.3","40.5","39.5","37.7","34.9","32.8","29.8"
"Guinea","5.8","4.6","3.1","4.5","3.5","3.4","3.1","2.3","1.7","1.8","1.5","1.1","1.2","1.3","2.2","2.8","1.6","1.4"
"Guinea-Bissau","4.3","3.8","3.9","4.4","3.9","3.5","3.6","6.7","16.0","14.7","13.6","11.5","12.8","14.2","9.6","6.4","9.6","10.1"
"Guyana","138.1","146.8","93.8","107.6","94.6","78.0","64.7","51.2","42.7","39.3","39.5","34.9","39.3","37.4","36.4","35.6","31.7","30.9"
